time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
1.059941176,-0.016287811,0.007675179,-0.012566734,-0.002898102,-0.002898102
1.060352941,-0.026294171,0.010802179,0.011823746,-0.011653632,-0.011653632
1.060764706,-0.020040211,0.004548194,0.026833226,0.016801928,0.016801928
1.061176471,-0.005030691,-0.001705771,0.030585626,0.038690788,0.038690788
1.061588235,-0.007532291,-0.001705771,0.006195176,0.023368558,0.023368558
1.062,-0.016287811,0.002984704,-0.003185794,-0.002898102,-0.002898102
1.062411765,-0.018789411,0.012365629,-0.014442874,-0.011653632,-0.011653632
1.062823529,-0.018789411,0.004548194,0.006195176,-0.007275832,-0.007275832
1.063235294,-0.026294171,0.004548194,0.008071364,-0.002898102,-0.002898102
1.063647059,-0.026294171,0.010802179,0.009947552,0.014613028,0.014613028
1.064058824,-0.017538611,0.009238679,0.006195176,0.012424128,0.012424128
1.064470588,-0.006281491,0.006111684,0.004318986,0.001479691,0.001479691
1.064882353,-0.011284651,-0.000142276,0.000566606,-0.000709202,-0.000709202
1.065294118,-0.020040211,-0.011086721,-0.003185794,0.003668575,0.003668575
1.065705882,-0.015037011,0.007675179,-0.014442874,0.005857463,0.005857463
1.066117647,-0.005030691,0.020183079,-0.018195274,0.016801928,0.016801928
1.066529412,0.003724869,0.026437079,0.0024428,0.021179658,0.021179658
1.066941176,-0.001278291,0.023310079,0.030585626,0.023368558,0.023368558
1.067352941,0.002474069,0.020183079,0.039966566,0.016801928,0.016801928
1.067764706,0.004975669,0.018619629,0.039966566,0.014613028,0.014613028
1.068176471,-2.75E-05,0.013929129,0.036214226,0.012424128,0.012424128
1.068588235,-0.005030691,0.018619629,0.013699946,0.016801928,0.016801928
1.069,-0.007532291,0.004548194,-0.010690534,0.005857463,0.005857463
1.069411765,-2.75E-05,-0.006396221,-0.018195274,-0.005087002,-0.005087002
1.069823529,0.007477229,-0.001705771,-0.018195274,-0.013842532,-0.013842532
1.070235294,0.023737549,0.009238679,-0.001309594,-0.000709202,-0.000709202
